Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
conferencing tools,10,20,20,20,10,10,20,20,10,20,10,20,20,20,30,20,10,20,10,20,20,20,20,20
construction,40500,49500,49500,49500,40500,40500,40500,49500,49500,40500,40500,49500,49500,49500,49500,49500,40500,40500,49500,49500,60500,74000,74000,74000
construction materials,1900,2400,2900,2400,2400,2400,2400,2900,2400,2400,1900,2400,2400,2900,2900,2900,2400,2900,2400,2900,2900,2400,2400,2900
construction supplies,590,720,720,590,720,720,720,720,590,590,480,590,590,590,720,720,720,720,720,720,720,590,590,720
consulting,14800,14800,14800,12100,12100,14800,14800,18100,18100,14800,14800,18100,18100,18100,18100,14800,14800,14800,14800,18100,18100,14800,14800,18100
consumer electronics,1900,2400,1900,1900,1900,2400,1900,2400,2400,2900,2400,2900,1900,2400,1900,1900,2400,2400,2400,2400,2900,2900,2400,3600
consumer goods,3600,2900,2900,2900,1900,1600,2400,4400,2900,2400,2400,4400,3600,3600,3600,2900,2400,1900,2900,5400,3600,2900,2900,5400
consumer lending,480,590,590,390,480,480,480,480,590,480,480,590,720,590,590,590,720,590,590,590,720,590,590,880
contact lenses,90500,110000,110000,110000,110000,110000,110000,135000,135000,110000,110000,135000,110000,135000,110000,110000,110000,110000,135000,110000,135000,90500,110000,110000
content management,1900,1900,2400,2400,1900,2400,1900,2400,2400,2400,2400,2400,2400,2900,2400,1900,2400,2400,1600,1900,1900,1600,1600,1900
convenience stores,1900,1900,1900,1900,1900,2400,2400,1900,1900,1900,1900,1900,1900,2400,2400,2400,2400,2900,2900,2900,2900,2400,2400,2400
copper,74000,74000,74000,60500,60500,90500,74000,110000,110000,90500,90500,90500,90500,90500,74000,74000,49500,49500,60500,90500,110000,90500,90500,90500
corporate finance,5400,5400,5400,4400,4400,4400,5400,6600,6600,5400,5400,6600,6600,5400,5400,5400,4400,4400,5400,8100,6600,5400,4400,6600
cosmetics,14800,14800,14800,14800,12100,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,14800,18100,18100,18100
cotton,33100,33100,33100,33100,22200,18100,22200,33100,40500,40500,33100,33100,33100,40500,40500,40500,27100,22200,27100,33100,40500,40500,33100,40500
couriers,1600,1900,1600,1600,1300,1600,1600,1900,1900,1900,1600,1900,1900,1900,1900,1600,1600,1600,1600,1900,1900,1900,1900,2400
credit cards,135000,165000,201000,201000,201000,201000,201000,201000,201000,246000,246000,201000,165000,201000,201000,246000,246000,246000,246000,246000,246000,246000,246000,246000
credit unions,12100,14800,14800,14800,12100,14800,12100,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800
crop production,390,390,480,390,320,320,480,590,590,390,390,480,480,480,590,480,390,320,480,480,480,390,320,590
cruise lines,90500,90500,74000,60500,49500,60500,40500,40500,40500,40500,49500,90500,74000,90500,90500,90500,90500,90500,90500,74000,74000,74000,90500,165000
custodial services,480,480,480,480,390,390,480,480,480,390,390,390,480,480,480,480,480,480,480,480,590,480,480,480
cutlery,9900,9900,8100,12100,12100,9900,9900,9900,9900,12100,14800,12100,9900,9900,12100,14800,14800,12100,12100,12100,12100,18100,18100,14800
