Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
LADDER CAPITAL,2900,1900,1900,1600,1600,1600,1600,1600,1600,1300,1600,1900,1900,2400,1900,1900,1900,1600,1900,1600,1600,1600,1600,1900
JOURNAL MEDIA GROUP,0,0,0,0,0,480,320,210,170,110,210,260,390,880,2900,1900,1600,1600,1600,1300,6600,1300,1000,1300
FORMFACTOR,720,880,880,880,880,880,720,1000,1000,880,720,880,1000,1300,1300,1000,1000,1300,1000,880,1300,880,720,1000
TRIMAS,880,880,880,1000,880,880,720,1000,1000,720,880,1000,880,880,1000,880,1000,1000,1000,880,720,720,590,590
ALDER BIOPHARMACEUTICALS,480,1000,1000,1900,1300,1000,1000,1300,1000,880,1000,1300,880,1000,1300,1900,3600,1900,1300,1300,1300,1300,1000,1900
ASTEC INDUSTRIES,1300,1600,1300,1300,1300,1600,1300,1300,1600,1300,1300,1600,1600,1900,1300,1000,1300,1600,1300,1300,1300,1000,1000,1600
U S CONCRETE,1000,1000,1000,1000,880,1000,1000,1000,1300,1000,1000,1000,1300,1600,2400,1600,1600,1600,1600,1600,1900,1900,1300,1600
GRAY TELEVISION,1000,1300,1300,1000,1300,1600,1300,1300,1000,1000,880,2400,1000,1600,1300,1300,1300,1600,1600,4400,1600,1300,1300,1600
PDL BIOPHARMA,1600,1000,1000,1000,1000,1000,1000,1900,1000,1000,880,1300,1300,1300,1000,1000,1000,1300,880,1000,1000,1000,880,1000
CELLDEX THERAPEUTICS,1000,1000,1000,1000,880,880,1000,880,880,1300,720,1000,1300,1300,1300,1000,1000,1000,1000,1000,1000,1300,1000,1600
WINDSTREAM HOLDINGS,880,1000,1000,1300,880,1600,1300,720,880,720,1000,1000,1300,1300,3600,1900,1000,1600,1300,880,880,720,480,720
GREEN PLAINS,320,480,390,480,590,720,720,720,880,720,720,880,880,1000,1000,1000,1600,1300,1000,1300,1600,1900,1600,1600
CAPITAL SENIOR LIVING,1300,1600,1300,1300,1300,1600,1600,1600,1600,1300,1300,1600,1600,1600,1600,1600,1600,1600,1900,1600,1600,1600,1600,1900
ALAMO GROUP,1000,1300,1000,1000,1000,1300,1000,1000,1000,1000,880,1000,1000,1300,1000,1300,1300,1000,1300,1300,1300,1000,880,1000
MOVADO GROUP,720,720,720,720,720,880,880,880,880,1000,880,880,880,1000,1000,880,1000,880,880,880,880,1000,720,720
