Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
legal,18100,18100,18100,18100,18100,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,27100,27100,27100,22200,27100,27100
apparel,40500,40500,33100,33100,33100,40500,40500,40500,40500,40500,40500,40500,49500,40500,40500,40500,40500,49500,49500,49500,49500,49500,49500,49500
fair trade,18100,18100,14800,9900,9900,9900,12100,14800,18100,14800,14800,18100,18100,18100,14800,9900,9900,9900,12100,18100,18100,14800,12100,18100
public relations,33100,33100,33100,22200,27100,27100,33100,33100,33100,27100,33100,33100,33100,33100,27100,27100,27100,27100,33100,33100,33100,27100,33100,33100
home improvement,60500,49500,49500,40500,49500,40500,40500,49500,49500,60500,90500,49500,60500,60500,60500,49500,60500,60500,60500,60500,74000,74000,74000,74000
cement,18100,18100,18100,18100,18100,18100,18100,22200,18100,14800,18100,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,22200,27100
flooring,40500,40500,40500,33100,40500,40500,40500,40500,40500,33100,49500,49500,49500,49500,49500,40500,49500,49500,49500,49500,49500,49500,60500,60500
yarn,40500,33100,27100,27100,27100,33100,40500,49500,60500,60500,60500,49500,40500,33100,33100,33100,33100,33100,40500,49500,60500,49500,60500,49500
ecommerce,18100,18100,18100,18100,18100,18100,22200,22200,18100,18100,22200,18100,22200,22200,18100,18100,18100,18100,18100,22200,18100,18100,22200,22200
Natural Gas,49500,49500,49500,27100,22200,22200,33100,40500,49500,49500,60500,49500,49500,49500,49500,33100,27100,33100,33100,49500,49500,49500,49500,49500
magazines,60500,49500,49500,33100,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,27100,27100,33100,49500,40500,49500,49500,49500,49500
pulp,9900,9900,9900,9900,12100,12100,9900,12100,12100,9900,12100,12100,14800,12100,12100,12100,12100,14800,12100,12100,12100,12100,14800,14800
petroleum,27100,27100,27100,14800,12100,14800,22200,27100,22200,22200,27100,27100,27100,33100,33100,18100,18100,18100,27100,27100,27100,27100,33100,33100
farming,14800,14800,14800,8100,8100,9900,18100,18100,14800,12100,14800,12100,14800,14800,14800,9900,8100,14800,22200,22200,22200,22200,22200,22200
venture capital,22200,27100,22200,18100,22200,18100,27100,27100,22200,22200,22200,22200,27100,27100,22200,22200,22200,22200,22200,22200,22200,18100,22200,22200
batteries,33100,33100,33100,33100,33100,27100,33100,40500,40500,40500,40500,33100,40500,40500,40500,33100,33100,40500,40500,40500,49500,49500,49500,40500
office supplies,40500,40500,40500,40500,40500,49500,40500,49500,40500,40500,49500,49500,49500,49500,40500,49500,49500,60500,49500,49500,49500,49500,60500,49500
plumbing,33100,33100,33100,27100,33100,33100,33100,33100,33100,33100,40500,33100,40500,33100,33100,33100,33100,40500,40500,40500,40500,40500,49500,49500
fossil fuels,33100,40500,40500,14800,8100,9900,27100,33100,33100,33100,33100,33100,40500,49500,49500,18100,9900,12100,27100,40500,40500,40500,40500,40500
cleaning services,33100,33100,33100,33100,33100,40500,40500,40500,33100,33100,40500,40500,49500,40500,40500,49500,49500,49500,49500,49500,40500,40500,49500,49500
newspapers,14800,14800,14800,9900,9900,12100,18100,18100,14800,14800,14800,14800,14800,14800,12100,12100,12100,12100,14800,14800,14800,12100,14800,14800
investment banking,18100,22200,18100,18100,22200,18100,22200,22200,18100,18100,22200,22200,22200,18100,18100,22200,22200,22200,22200,22200,22200,18100,22200,22200
buses,12100,12100,12100,12100,12100,12100,14800,14800,12100,12100,14800,14800,14800,14800,14800,12100,12100,14800,18100,18100,18100,18100,18100,18100
air conditioning,9900,22200,40500,40500,33100,22200,22200,12100,12100,8100,12100,12100,22200,27100,40500,60500,60500,40500,33100,18100,14800,14800,14800,18100
private equity,18100,18100,14800,14800,18100,18100,18100,18100,18100,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,18100,18100
gambling,18100,18100,14800,12100,12100,12100,14800,18100,14800,14800,18100,18100,18100,18100,18100,14800,14800,14800,18100,22200,22200,22200,27100,22200
desktop computers,49500,49500,40500,33100,40500,49500,49500,49500,74000,74000,74000,60500,60500,49500,40500,49500,60500,74000,60500,33100,40500,49500,49500,40500
aircraft,12100,9900,9900,8100,8100,9900,12100,9900,9900,9900,9900,9900,14800,9900,9900,9900,9900,12100,12100,12100,18100,14800,18100,14800
poultry,18100,18100,14800,12100,14800,14800,18100,18100,18100,18100,18100,18100,22200,22200,22200,18100,18100,18100,18100,22200,27100,22200,27100,27100
